2017.06.27,00:00,1.27197,1.27229,1.27172,1.27201,4001
2017.06.27,04:00,1.27199,1.27290,1.27154,1.27285,9922
2017.06.27,08:00,1.27284,1.27560,1.27174,1.27476,24601
2017.06.27,12:00,1.27474,1.27705,1.27334,1.27587,33276
2017.06.27,16:00,1.27587,1.27945,1.27571,1.27807,30984
2017.06.27,20:00,1.27809,1.28601,1.27778,1.28126,19221
2017.06.28,00:00,1.28098,1.28203,1.28073,1.28118,7905
2017.06.28,04:00,1.28119,1.28272,1.28083,1.28168,11731
2017.06.28,08:00,1.28168,1.28308,1.27930,1.28276,31728
2017.06.28,12:00,1.28275,1.28539,1.28104,1.28305,37395
2017.06.28,16:00,1.28304,1.29713,1.28293,1.29303,45110
2017.06.28,20:00,1.29302,1.29385,1.29187,1.29240,12437
2017.06.29,00:00,1.29217,1.29456,1.29217,1.29434,9376
2017.06.29,04:00,1.29435,1.29747,1.29412,1.29536,13862
2017.06.29,08:00,1.29535,1.29941,1.29510,1.29734,27158
2017.06.29,12:00,1.29735,1.30063,1.29535,1.29667,33819
2017.06.29,16:00,1.29666,1.29994,1.29633,1.29875,29406
2017.06.29,20:00,1.29876,1.30147,1.29854,1.30039,14075
2017.06.30,00:00,1.29975,1.30216,1.29951,1.30165,8072
2017.06.30,04:00,1.30165,1.30291,1.30133,1.30235,16012
2017.06.30,08:00,1.30236,1.30237,1.29822,1.29840,26233
2017.06.30,12:00,1.29841,1.29932,1.29582,1.29688,28166
2017.06.30,16:00,1.29686,1.30118,1.29448,1.30069,27418
2017.06.30,20:00,1.30070,1.30281,1.29974,1.30246,11662
2017.07.03,00:00,1.30022,1.30232,1.30022,1.30060,9720
2017.07.03,04:00,1.30061,1.30088,1.29943,1.29952,12431
2017.07.03,08:00,1.29952,1.30215,1.29600,1.29609,24256
2017.07.03,12:00,1.29608,1.29779,1.29427,1.29649,27049
2017.07.03,16:00,1.29648,1.29662,1.29313,1.29556,27195
2017.07.03,20:00,1.29556,1.29620,1.29331,1.29393,7397
2017.07.04,00:00,1.29432,1.29547,1.29302,1.29515,9083
2017.07.04,04:00,1.29515,1.29549,1.29326,1.29500,11496
2017.07.04,08:00,1.29502,1.29583,1.29174,1.29240,27388
2017.07.04,12:00,1.29238,1.29424,1.29147,1.29288,19634
2017.07.04,16:00,1.29289,1.29425,1.29117,1.29270,16871
2017.07.04,20:00,1.29271,1.29297,1.29160,1.29173,24893
2017.07.05,00:00,1.29172,1.29392,1.29141,1.29334,9252
2017.07.05,04:00,1.29334,1.29472,1.29219,1.29237,10921
2017.07.05,08:00,1.29235,1.29366,1.28933,1.29012,24221
2017.07.05,12:00,1.29012,1.29219,1.28926,1.29137,22170
2017.07.05,16:00,1.29138,1.29350,1.29025,1.29217,20250
2017.07.05,20:00,1.29219,1.29358,1.29079,1.29322,14782
2017.07.06,00:00,1.29302,1.29379,1.29232,1.29308,10666
2017.07.06,04:00,1.29308,1.29431,1.29190,1.29387,11655
2017.07.06,08:00,1.29388,1.29460,1.29227,1.29307,17675
2017.07.06,12:00,1.29307,1.29827,1.29268,1.29498,29057
2017.07.06,16:00,1.29498,1.29747,1.29239,1.29682,24017
2017.07.06,20:00,1.29681,1.29757,1.29590,1.29703,12371
2017.07.07,00:00,1.29670,1.29724,1.29611,1.29630,6355
2017.07.07,04:00,1.29632,1.29740,1.29632,1.29678,13549
2017.07.07,08:00,1.29679,1.29724,1.29118,1.29228,19956
2017.07.07,12:00,1.29230,1.29237,1.28695,1.28748,26443
2017.07.07,16:00,1.28754,1.28889,1.28660,1.28860,21782
2017.07.07,20:00,1.28860,1.28926,1.28719,1.28808,8511
2017.07.10,00:00,1.28750,1.28964,1.28750,1.28893,7639
2017.07.10,04:00,1.28895,1.28996,1.28884,1.28924,5836
2017.07.10,08:00,1.28924,1.29073,1.28623,1.28673,16937
2017.07.10,12:00,1.28673,1.28906,1.28567,1.28773,17620
2017.07.10,16:00,1.28775,1.28908,1.28537,1.28767,17090
2017.07.10,20:00,1.28767,1.28889,1.28759,1.28802,5496
2017.07.11,00:00,1.28773,1.28816,1.28742,1.28765,5224
2017.07.11,04:00,1.28765,1.28817,1.28710,1.28769,7814
2017.07.11,08:00,1.28770,1.29171,1.28690,1.29116,16024
2017.07.11,12:00,1.29116,1.29267,1.28727,1.28763,19424
2017.07.11,16:00,1.28761,1.28778,1.28302,1.28475,25623
2017.07.11,20:00,1.28474,1.28607,1.28415,1.28453,13044
2017.07.12,00:00,1.28477,1.28639,1.28401,1.28619,10075
2017.07.12,04:00,1.28618,1.28639,1.28406,1.28528,12347
2017.07.12,08:00,1.28528,1.28640,1.28110,1.28512,21890
2017.07.12,12:00,1.28513,1.29067,1.28427,1.28915,27446
2017.07.12,16:00,1.28916,1.28994,1.28546,1.28976,31532
